t_mono_s,sent,bytes_sent,achieved_pps
0.1002,12,6480,119.77
0.2002,22,11880,99.96
0.3102,33,17820,100.03
0.4202,44,23760,99.96
0.5302,55,29700,100.02
0.6402,66,35640,100.02
0.7502,77,41580,100.01
0.8502,87,46980,99.99
0.9502,97,52380,99.96
1.0602,108,58320,100.00
1.1702,119,64260,100.03
1.2802,130,70200,99.98
1.3901,141,76140,100.13
1.4902,151,81540,99.92
1.5902,161,86940,99.97
1.7001,172,92880,100.10
1.8001,182,98280,99.95
1.9002,192,103680,99.89
2.0102,203,109620,100.02
2.1202,214,115560,99.98
2.2302,225,121500,100.05
2.3302,235,126900,99.94
2.4402,246,132840,100.07
2.5402,256,138240,99.94
2.6501,267,144180,100.10
2.7502,277,149580,99.91
2.8602,288,155520,99.97
2.9701,299,161460,100.08
3.0702,309,166860,99.94
3.1702,319,172260,99.97
3.2802,330,178200,100.00
3.3902,341,184140,100.07
3.5001,352,190080,100.04
3.6102,363,196020,99.95
3.7102,373,201420,99.94
3.8202,384,207360,100.02
3.9302,395,213300,100.01
4.0402,406,219240,99.97
4.1502,417,225180,100.02
4.2602,428,231120,99.97
4.3602,438,236520,99.99
4.4702,449,242460,100.01
4.5801,460,248400,100.08
4.6802,470,253800,99.93
4.7902,481,259740,99.98
4.8902,491,265140,100.00
5.0002,501,270540,90.95
